name,ticker
BEBO HEALTH,MLBBO
BEFIMMO,BEFB
BEKAERT,BEKB
BELIEVE,BLV
BELRECA,BELR
BELSHIPS,BELCO
BELUGA,BELU
BEM INVEST,
BENETEAU,BEN
BENEVOLENTAI,BAI
BENEVOLENTAI W,BAIW
BENFICA,SLBEN
BERGEN CARBON SOL,BCS
BERGENBIO,BGBIO
BERNARD LOISEAU,ALDBL
BETER BED,BBED
BEVER HOLDING,BEVER
BEWI,BEWI
BGL BNP PARIBAS,
BHA,
BIC,BB
BIGBEN INTERACTIVE,BIG
BIL,
BILENDI,ALBLD
BIO-UV GROUP,ALTUV
BIOCARTIS,BCART
BIOCORP,ALCOR
BIOFISH HOLDING,BFISH
BIOMERIEUX,BIM
BIOPHYTIS,ALBPS
BIOPHYTIS BSA,BPSBS
BIOSYNEX,ALBIO
BIOTALYS,BTLS
BIP INV. PARTNERS,
BLACK SEA PROPERTY,BSP
BLEECKER,BLEE
BLUE SHARK POWER,MLBSP
BLUELINEA,ALBLU
BLUELINEA BSA Y,BLUBT
BNP PARIBAS ACT.A,BNP
BNP PARIBAS FORTIS,
BOA CONCEPT,ALBOA
BODY ONE,MLONE
BOEING COMPANY,BOEI
BOIRON,BOI
BOIS DU LUC,
BOIS DU LUC 10E,
BOLLORE,BOL
BONDUELLE,BON
BONE THERAPEUTICS,BOTHE
BONHEUR,BONHR
BONYF,MLBON
BOOSTHEAT,ALBOO
BORGESTAD,BOR
BORR DRILLING,BORR
BORREGAARD,BRG
BOSKALIS WESTMIN,BOKA
BOUFFIOULX-St-NICO,
BOURRELIER GROUP,ALBOU
BOURSE DIRECT,BSD
BOUSSARD GAVAUDAN,BGHL
BOUSSARD GHL GBP,BGHS
BOUVET,BOUV
BOUYGUES,EN
BPOST,BPOST
BQUE NAT. BELGIQUE,BNB
BREDERODE,BREB
BRIGADE M3 SHA,BACE
BRIGADE M3 UNITS,BACEU
BRIGADE M3 WARR,BACEW
BRILL KON,BRILL
BROADPEAK,ALBPK
BROUX-KIGGEN,
BRUNEL INTERNAT,BRNL
BUREAU VERITAS,BVI
BURELLE,BUR
BW ENERGY LIMITED,BWE
BW Epic Kosan,BWEK
BW IDEOL,BWIDL
BW LPG,BWLPG
BW OFFSHORE LTD,BWO
BYGGMA,BMA
CA TOULOUSE 31 CCI,CAT31
CABASSE GROUP,ALCG
CABKA,CABKA
CABKA DSC2 TS,DSC2S
CABKA EUR 12W,DSCW2
CABKA EUR 13W,DSCW3
CADELER,CADLR
CAFOM,CAFO
CAIRE,MLAAE
CAIRN HOMES PLC,C5H
CAMBI,CAMBI
CAMBODGE NOM.,CBDG
CAMPINE,CAMB
CANDELA INVEST,CAND
CANOPY HOLDINGS,CAN
CAPELLI,ALCAP
CAPGEMINI,CAP
CARASENT,CARA
CARBIOS,ALCRB
CARBON TRANSITION,CARBN
CARE PROPERTY INV.,CPINV
CARMAT,ALCAR
CARMILA,CARM
CARPINIENNE PART.,CARP
CARREFOUR,CA
CASINO GUICHARD,CO
CAST,CAS
CATANA GROUP,CATG
CATERING INTL SCES,CTRG
CATERPILLAR INC,CATR
CBI,ALCBI
CBO TERRITORIA,CBOT
CBRE H2O,
CEGEDIM,CGM
CELLECTIS,ALCLS
CELYAD ONCOLOGY,CYAD
CENERGY,CENER
CERINNOV GROUP,ALPCV
CESAR,ALCES
CESYNT A SHARES,MLCSA
CESYNT B SHARES,MLCSB
CFE,CFEB
CFI,CFI
CFM INDOSUEZWEALTH,MLCFM
CGG,CGG
CGG BSA 2,CGGBT
CH.FER DEPARTEMENT,MLCFD
CH.FER VAR GARD N.,MLCVG
CHARB BONNIER,
CHARGEURS,CRI
CHARWOOD ENERGY,ALCWE
CHAUSSERIA,CHSR
CHEOPS TECHNOLOGY,MLCHE
CHEVRON,CHTEX
CHOICE,MLTV
CHRISTIAN DIOR,CDI
CIBIX,
CIBOX INTER A CTIV,CIB
CIE BOIS SAUVAGE,COMB
CIE DU MONT BLANC,MLCMB
Cie HET ZOUTE,
CIOA,MLCIO
CIRCA GROUP,CIRCA
CISCO SYSTEM INC,CIS
CKV,
CLARANOVA,CLA
CLASQUIN,ALCLA
CLEAN SEAS SEAFOOD,CSS
CLOUDBERRY CLEAN,CLOUD
CM.COM,CMCOM
CMG CLEANTECH,MLCMG
CNIM GROUP,COM
CNOVA,CNV
CO.BR.HA,COBH
CO2 CAPSOL,CAPSL
Coca-ColaEuropacif,CCEP
COFACE,COFA
COFIDUR,ALCOF
"COFINA,SGPS",CFN
COFINIMMO,COFB
COGELEC,ALLEC
COGRA,ALCOG
COHERIS,COH
COIL,ALCOI
COLAS,RE
COLIPAYS,MLCLP
COLRUYT,COLR
COMMERCIALE BELGE,
COMPAGNIE ODET,ODET
CONDOR TECHNOLOG,MLMFI
CONDURIL,CDU
CONSORT NT,MLCNT
CONSTRUCTEURS BOIS,MLLCB
CONTEXTVISION,CONTX
CONTINENT. LAND CY,
COOL COMPANY,COOL
COPAM,CPA
CORBION,CRBN
CORE LABORATORIES,CLB
COREP LIGHTING,MLCOR
CORRE ENERGY B.V.,CORRE
CORTICEIRA AMORIM,COR
COURBET,MLCOU
COURTOIS,COUR
COVIVIO,COV
COVIVIO HOTELS,COVH
CP 76 PETROFINA,
CP 79 PETROFINA,
CRAYON GROUP HOLD,CRAYN
CRCAM ALP.PROV.CCI,CRAP
CRCAM ATL.VEND.CCI,CRAV
CRCAM BRIE PIC2CCI,CRBP2
CRCAM ILLE-VIL.CCI,CIV
CRCAM LANGUED CCI,CRLA
CRCAM LOIRE HTE L.,CRLO
CRCAM MORBIHAN CCI,CMO
CRCAM NORD CCI,CNF
CRCAM NORM.SEINE,CCN
CRCAM PARIS ET IDF,CAF
CRCAM SUD R.A.CCI,CRSU
CRCAM TOURAINE CCI,CRTO
CREDIMO,
CREDIMO HOLDING,
CREDIT AGRICOLE,ACA
CRESCENT,OPTI
CRH PLC 5PCCumPref,DD8A
CRH PLC 7PCCumPref,DD8B
CRH PLC ord,CRG
CROSSJECT,ALCJ
CROSSWOOD,CROS
CRYSTAL PEAK SHARE,CPA1
CRYSTAL PEAK WAR,CPA1W
CS BRUX,
CS GROUP.,SX
CSAM HEALTH GROUP,CSAM
CTAC,CTAC
CTC ORD SHARES,CTCA1
CTC TREAS SHARES,CTCT1
CTC WARRANTS,CTCW1
CTP,CTPNV
CTT CORREIOS PORT,CTT
CUMULEX,CLEX
CUMULEX (ben/win),
CYBERGUN,ALCYB
CYBERGUN BSA 2,CYBBT
CYBERGUN BSA K1,CYBK1
CYBERGUN BSA K2A,CYBKA
CYBERGUN BSA K2B,CYBKB
CYVIZ,CYVIZ
D'IETEREN GROUP,DIE
D.L.S.I.,ALDLS
DALATA HOTEL GP.,DHG
DAMARIS,MLDAM
DAMARTEX,ALDAR
DANONE,BN
DASSAULT AVIATION,AM
DASSAULT SYSTEMES,DSY
DATALEX PLC,DLE
DBT,ALDBT
DBV TECHNOLOGIES,DBV
DECEUNINCK,DECB
DEE TECH SHARES,DEE
DEE TECH WARRANTS,DEEW
DEEP VALUE DRILLER,DVD
DEEZER,DEEZR
DEEZER WARRANTS,DEEZW
DEINOVE,ALDEI
DEKUPLE,DKUPL
DELFINGEN,ALDEL
DELTA DRONE,ALDR
DELTA DRONE BSA Y,ALDBY
DELTA PLUS GROUP,ALDLT
DEME GROUP,DEME
DERICHEBOURG,DBG
DESERT CONTROL,DSRT
DEUTSCHE TELEKOM,DTEL
DEVERNOIS,ALDEV
DEXIA,DEXB
DGB GROUP N.V.,DGB
DIAGEO,DGE
DIAGEO PLC,GUI1
DIAGNOSTIC MEDICAL,ALDMS
DIEGEM KENNEDYCERT,DIEG
DIERK. ANTWERP.,
DIERKUNDE ANTW,
DISRUPTIVE CAP SHA,DCACS
DISRUPTIVE CAP WAR,DCACW
DISTRI-LAND CERT,DISL
DLTX,DLTX
DMS IMAGING,DMSIM
DNB BANK,DNB
DNO,DNO
DNXCORP,ALDNX
DOCK.PETR.AMBES AM,DPAM
DOF,DOF
DOLFINES,ALDOL
DONEGAL INVESTMENT,DQ7A
DONTNOD,ALDNE
DRONE VOLT,ALDRV
DRONE VOLT BS26,BNBS
DSM KON,DSM
DYNAFOND,MLDYN
DYNEX ENERGY SA,MLDYX
E PANGO,ALAGO
E.ON SE,EON
EAM SOLAR,EAM
